date,killed,wounded,lat,lng,citycounty,state
4/3/1995,6,0,27.828025,-97.548198,Corpus Christi,Texas
6/20/1994,5,23,47.61864486,-117.6483587,Fairchild Air Force Base,Washington
12/14/1993,4,1,39.675599,-104.84484499999999,Aurora,Colorado
12/7/1993,6,19,40.7267682,-73.6342955,Garden City,New York
8/6/1993,4,8,35.0529931,-78.87870579999999,Fayetteville,North Carolina
7/1/1993,9,6,37.792968,-122.397973,San Francisco,California
10/15/1992,5,0,42.3810555,-76.8705777,Watkins Glen,New York
5/1/1992,4,10,39.07868761,-121.54757620000001,Olivehurst,California
11/14/1991,5,5,42.4894801,-83.1446485,Royal Oak,Michigan
11/1/1991,6,1,41.6606893,-91.5302214,Iowa City,Iowa
10/16/1991,24,20,31.117119399999996,-97.7277959,Killeen,Texas
6/18/1990,10,4,30.3321838,-81.655651,Jacksonville,Florida
9/14/1989,9,12,38.254237599999996,-85.759407,Louisville,Kentucky
1/17/1989,6,29,37.9577016,-121.29077959999998,Stockton,California
2/16/1988,7,4,37.368830100000004,-122.03634960000001,Sunnyvale,California
4/23/1987,6,14,28.0331886,-80.64296949999999,Palm Bay,Florida
8/20/1986,15,6,35.667201500000004,-97.42937037,Edmond,Oklahoma
7/18/1984,22,19,32.5520013,-117.04308130000001,San Ysidro,California
6/29/1984,6,1,32.925166,-96.838676,Dallas,Texas
8/20/1982,8,3,25.796491,-80.226683,Miami,Florida
